Number of threads: 
Job ID: 3113
Machine: penguin 

/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,717520,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,41290422,24.21,10.89,5878.969
8,64,4096,8192,8192,8192,1,1,717520,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,41314752,24.21,10.89,5875.507
8,64,4096,8192,8192,8192,1,1,717520,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,41287416,24.21,10.89,5879.397
8,64,4096,8192,8192,8192,1,1,717520,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,41309580,24.21,10.89,5876.242
8,64,4096,8192,8192,8192,1,1,717520,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,41288691,24.21,10.89,5879.215
8,64,4096,8192,8192,8192,1,1,717887,100,t1,5,random,1,local,0,1,"0:0",128,128,1.001,37062915,27.01,10.89,5875.006
8,64,4096,8192,8192,8192,1,1,717887,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,37027145,27.01,10.88,5880.682
8,64,4096,8192,8192,8192,1,1,717887,100,t1,5,random,1,local,0,1,"0:0",128,128,1.001,37057120,27.01,10.89,5875.925
8,64,4096,8192,8192,8192,1,1,717887,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,37030200,27.01,10.88,5880.197
8,64,4096,8192,8192,8192,1,1,717887,100,t1,5,random,1,local,0,1,"0:0",128,128,1.001,37052650,27.01,10.89,5876.634
8,64,4096,8192,8192,8192,1,1,718172,100,t2,5,random,1,local,0,1,"0:0",128,128,1.001,51188935,19.56,10.89,5876.556
8,64,4096,8192,8192,8192,1,1,718172,100,t2,5,random,1,local,0,1,"0:0",128,128,1.001,51174560,19.56,10.89,5878.207
8,64,4096,8192,8192,8192,1,1,718172,100,t2,5,random,1,local,0,1,"0:0",128,128,1.001,51195901,19.56,10.89,5875.757
8,64,4096,8192,8192,8192,1,1,718172,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,51145578,19.56,10.88,5881.538
8,64,4096,8192,8192,8192,1,1,718172,100,t2,5,random,1,local,0,1,"0:0",128,128,1.001,51197438,19.56,10.89,5875.580
8,64,4096,8192,8192,8192,1,1,771891,100,none,5,forward,1,local,0,1,"0:0",128,128,1.001,38371476,26.08,10.13,6319.450
8,64,4096,8192,8192,8192,1,1,771891,100,none,5,forward,1,local,0,1,"0:0",128,128,1.000,38342397,26.08,10.12,6324.242
